kind,etag,videoId,publishedAt,channelId,title,description,url,width,height,channelTitle,liveBroadcastContent,publishTime,id,duration,dimension,definition,caption,licensedContent,projection,uploadStatus,privacyStatus,license,embeddable,publicStatsViewable,madeForKids,viewCount,likeCount,favoriteCount,commentCount,topicCategories
youtube#video,Re4zfTZ-2ahhv2P-2SG4mmRBmrk,CFVSBTlgvrQ,2020-10-23T11:00:02Z,UC0UlnVbf-RQo_zBvgaGgAzA,Today Is the Day of My Amazing Good Fortune Affirmation | Florence Scovel Shinn,,https://i.ytimg.com/vi/CFVSBTlgvrQ/hqdefault.jpg,480,360,Hermetic Truths,none,2020-10-23T11:00:02Z,CFVSBTlgvrQ,PT10M1S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,44266,1042,0,64,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
youtube#video,IRiBEj7HKUfxZ9kQLY7oqUPQhDo,grSlJiT1XAY,2023-02-13T11:00:33Z,UC0dJDW1i1vgwGXJ19wjIHPg,Only Good Will Come | Louise Hay Affirmations | Everything Is Working Out,"In this video, Bob Baker pays tribute to the legendary self-help author and motivational speaker Louise Hay, by reading her powerful affirmations that encourage us to focus on the positive and trust that everything will work out for our highest good. This video is designed to help you cultivate a mindset of positivity, hope, and self-love, even in the face of life's challenges. Read by Bob Baker (c) 2022

Whether you are facing a difficult situation or simply looking to improve your mental and emotional well-being, the affirmations in this video are sure to inspire and uplift you. Let Bob's calming voice guide you on a journey of self-discovery and personal growth. Remember, only good will come, and everything is truly working out for your highest good.

#LouiseHay #Affirmations #AllIsWell #PersonalGrowth #PositiveThinking

Louise Hay, Affirmations, Tribute, Positive Thinking, Mindset, Hope, Self-Love, Self-Help, Personal Growth, Inspiration, Uplifting, Emotional Well-being, Bob Baker, Self-discovery, Calming Voice, Journey, Life Challenges, Good Vibes, Everything is Working Out

Get your free copy of ""How to Turbo-Charge Your Life! 5 Steps to Unleashing Your Purpose, Passion, and Play"" https://bob-baker.aweb.page/turbo-charge-your-life

SUBSCRIBE to the channel so you don’t miss new videos every week
https://www.youtube.com/channel/UC0dJDW1i1vgwGXJ19wjIHPg?sub_confirmation=1

PURCHASE my book, ""The Power of Affirmations and Positive Self-Talk."" Info at https://bobbaker.samcart.com/products/power-of-affirmations-book/

TEXT ME! To receive short inspirational messages from Bob, send a short text to 314-742-8339 if you have a number based in the US or Canada. Cancel at any time. For all other countries, join my Telegram channel at https://t.me/BobBakerInspiration

GET my ""21-Day Abundance and Money Attraction Brain Boost"" at https://bobbaker.samcart.com/products/21-day-abundance-boost/

FOLLOW Bob Baker’s Inspiration Project on Spotify https://open.spotify.com/artist/2h5dkU6stcyzAXjMcgb1fe

PURCHASE Bob's tracks at https://soulmassage.bandcamp.com/

SAMPLE my most popular album here https://bobbakerinspiration.hearnow.com

0:00 Only Good Will Come Intro
0:48 Louise Hay Affirmations
7:31 Power Thoughts Louise Hay Affirmations
12:19 Everything Is Working Out Final Thoughts

===

Also enjoy these YouTube playlists ...

Start Your Day Morning Affirmations https://www.youtube.com/playlist?list=PLCNbem8fOiHr_JOONo7VUlJWbxMiJv23K

Positive Music, Happy Songs https://www.youtube.com/playlist?list=PL839E1C5A50E4908F

Abundance, Prosperity, and Wealth Attraction https://www.youtube.com/playlist?list=PLCNbem8fOiHpDs4L9YQTKFfS8E_UfCZpZ

Confidence, Self-Esteem, and Self-Worth https://www.youtube.com/playlist?list=PLCNbem8fOiHpDj_trJTSkZo07DJwiaesS

Gratitude Affirmations for Morning and Night https://www.youtube.com/playlist?list=PLCNbem8fOiHqE1jsDOHSM0JfWDZJcmEOd

Affirmations for Health, Healing & Weight Loss https://www.youtube.com/playlist?list=PLCNbem8fOiHpwSp6bGTqbo2qVc3uSfOh7

Bedtime Sleep Affirmations for Prosperity, Success & Abundance https://www.youtube.com/playlist?list=PLCNbem8fOiHq1Mn796oKmiu63oo8mRG9q

Love, Romance, Relationships, and Dating https://www.youtube.com/playlist?list=PLCNbem8fOiHokrSBwFTMdbsmwdmQ3WKbv

Morning Affirmations for Wealth, Abundance and Confidence https://www.youtube.com/playlist?list=PLCNbem8fOiHomHEiGaCIwgQGc6MnKfvx0

Guided Meditations for Wealth, Abundance and Creativity https://www.youtube.com/playlist?list=PLCNbem8fOiHpxMsebKoEm7qHO14T4KJVE

Affirmations for Creativity, Success and Abundance https://www.youtube.com/playlist?list=PLCNbem8fOiHrIgeCbuuWQVZD0SL91bHjb

21 Day Meditation Challenge Videos https://www.youtube.com/playlist?list=PLCNbem8fOiHq8UnWVH66CYWQDW5mDkUG8

===

Also, I've published many books over the years, including:
The Passion Principles https://amzn.to/37jxcKs
The Empowered Artist https://amzn.to/2TX7APo
Personal and Spiritual Growth for Fun People https://amzn.to/2NRqSCf
Guerrilla Music Marketing Handbook https://amzn.to/37h4wSd
The DIY Career Manifesto https://amzn.to/2RkubUn
The 9 Irrefutable Laws of Music Marketing https://amzn.to/30MJEjj
Branding Yourself Online https://amzn.to/2RKafJF
The Guerrilla Guide to Book Marketing https://amzn.to/2GhVSXH

Visit my AMAZON author page at https://author.to/BobBaker to see all of my titles.

===

If you like Louise Hay, Wayne Dyer, Abraham Hicks, Deepak Chopra, Esther Hicks, Brene Brown, Michael Beckwith, Gabrielle Bernstein, Marianne Williamson, Michael Singer, Eckhart Tolle, Ram Dass, Byron Katie, Shakti Gawain, Neale Donald Walsch, Gary Zukav, Jack Kornfield, or Joe Vitale ... you'll LOVE this video!

===

Connect with me on …
INSTAGRAM https://www.instagram.com/mrbuzzfactor/
FACEBOOK https://www.facebook.com/BobBakerInspiration/
LINKEDIN https://www.linkedin.com/in/buzzfactor/
MEDIUM https://medium.com/@MrBuzzFactor
TWITTER https://twitter.com/MrBuzzFactor
TIKTOK https://www.tiktok.com/@bobbakerstl

===",https://i.ytimg.com/vi/grSlJiT1XAY/hqdefault.jpg,480,360,Bob Baker Affirmations,none,2023-02-13T11:00:33Z,grSlJiT1XAY,PT13M41S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,324521,6725,0,194,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
youtube#video,nB0ouVDmllgd8KT-niRDkWanNho,MAuh0BP3PCA,2023-06-26T19:37:27Z,UCZzuauSCw9aXx-tUB-E7Tfw,Miracle Morning Affirmations | Kick Start Your Day with Positive Vibrations [Law of Attraction],This powerful law of attraction affirmations meditation will help you raise your vibrations and set powerful intentions out to the ...,https://i.ytimg.com/vi/MAuh0BP3PCA/hqdefault.jpg,480,360,Master Sri Akarshana,none,2023-06-26T19:37:27Z,MAuh0BP3PCA,PT17M,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,147317,3134,0,156,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Religion']"
youtube#video,sAKEckyzBknU2n_uO6Dnts_59_s,MhZSS-gGVd4,2024-02-25T15:00:08Z,UChlWUyYN15CLnOUqo2PkJCA,It's the repetition of affirmations that leads to belief,"The power of repetition, when using positive affirmations to manifest your ideal life, is unmatched in changing the subconscious mind. Our conscious mind is responsible for creativity and our self awareness, but it's our subconscious mind that is infinitely more powerful. Neville Goddard once wrote that the door to heaven is through sleep which is where we access our subconscious mind in order to manifest our chosen reality. You can enhance your manifestation practice by understanding the pivotal role that repetition plays in imprinting the subconscious mind. 

The great Muhammad Ali once said ""It's the repetition of affirmations that leads to belief. And once that belief becomes a deep conviction, things begin to happen.""

Manifestation thrives on the reinforcement of ideas within the mind, boosting the probability of their real-world materialization. Strengthening neurological pathways associated with your thoughts amplifies the chances of turning them into your own desired reality. Repetition plays a crucial role in manifestation, as it contributes to hardening your assumptions into fact. 

In this video, I explore how repetition plays a crucial role in every aspect of your manifestation practice and how you can harness it's power to shape the life that you've always wanted to live.

Chapters
00:00 Introduction
01:11 Understanding The Mind
02:20 How to access the subconscious mind
03:18 What resides in the subconscious
04:50 Repetition & How to Reprogram Your Mind
06:44 Visualization & Affirmations
08:30 How visualization changes your brain
09:01 How positive affirmations change your brain
10:45 How I use positive affirmations
11:27 Conclusion

👇🏾 Follow Here Nor There👇🏾

@TikTok → https://www.tiktok.com/@heren0rthere
@Instagram → https://www.instagram.com/heren0rthere/
@Facebook → https://www.facebook.com/groups/355701380571120/
@Twitter →  https://twitter.com/HereN0RThere

Book a 1-on-1 Private Coaching Session: 
https://calendly.com/herenorthere

🔊 Outro Music: 
https://soundcloud.com/overturebeatsoriginal/when-i-need-you-most
https://open.spotify.com/track/3rTMe64DqEtY61YmNiCbxt",https://i.ytimg.com/vi/MhZSS-gGVd4/hqdefault.jpg,480,360,Here Nor There,none,2024-02-25T15:00:08Z,MhZSS-gGVd4,PT12M35S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,3242,317,0,81,['https://en.wikipedia.org/wiki/Religion']
youtube#video,Vlv5Vd2q4uGOqVml7dNObwtfcdE,_tWzCP0s22U,2021-05-10T10:30:03Z,UC0dJDW1i1vgwGXJ19wjIHPg,10 Most Powerful Affirmations of All Time | New Updated Version | Bob Baker,"Enjoy this new updated version of the 10 Most Powerful Affirmations of All Time. I published the original version of this popular video about nine months ago, and in a short time, it hit one million views. It’s now close to 2 million, which proves that these 10 affirmations resonate with a lot of people. Includes powerful affirmations, best affirmations, top 10 affirmations, most powerful affirmations, bob baker affirmations, listen for 21 days.

10 Most Powerful Affirmations of All Time - check out the new 2023 music version at https://youtu.be/MiRZyP7Dkio
And the original 2020 version at https://youtu.be/5fQv1kHCAC4

Join the new High-Vibe Tribe Community at https://bobbakerinspiration.com/tribe

Ready to take your life to the next level? Submit your application to our VIP Mentorship Program at https://www.bobbakerinspiration.com/vip

PURCHASE Bob's book, ""The Power of Affirmations and Positive Self-Talk."" Info at https://bobbakerinspiration.com/book

Get your FREE copy of ""How to Turbo-Charge Your Life!"" at https://bob-baker.aweb.page/turbo-charge-your-life - 5 Steps to Unleashing Purpose, Passion, and Play

SUBSCRIBE to the channel so you don’t miss all the new videos I publish every week
https://www.youtube.com/channel/UC0dJDW1i1vgwGXJ19wjIHPg?sub_confirmation=1

SAMPLE the “21-Day Abundance and Money Attraction Brain Boost” for free at https://bobbaker.samcart.com/products/21-day-abundance-boost

FOLLOW Bob Baker’s Inspiration Project on Spotify https://open.spotify.com/artist/2h5dkU6stcyzAXjMcgb1fe

SAMPLE my most popular album here https://bobbakerinspiration.hearnow.com

Thanks to https://BetterHelp.com/BobBaker​ for sponsoring this video. Yes, you can take important steps to improve your mindset, but if you’re really having a tough time, don’t try to power through it alone. Get the help you need from a licensed therapist. If you use the BetterHelp service, I will receive a commission. That won’t affect your rate at all, but it will help support my channel so I can create more videos like this one.

0:00 Affirmations Intro
0:55 10 Most Powerful Affirmations of All Time
9:46 Final thoughts

===

Also enjoy these YouTube playlists ...

Start Your Day Morning Affirmations https://www.youtube.com/playlist?list=PLCNbem8fOiHr_JOONo7VUlJWbxMiJv23K

Abundance, Prosperity, and Wealth Attraction https://www.youtube.com/playlist?list=PLCNbem8fOiHpDs4L9YQTKFfS8E_UfCZpZ

Confidence, Self-Esteem, and Self-Worth https://www.youtube.com/playlist?list=PLCNbem8fOiHpDj_trJTSkZo07DJwiaesS

Gratitude Affirmations for Morning and Night https://www.youtube.com/playlist?list=PLCNbem8fOiHqE1jsDOHSM0JfWDZJcmEOd

Bedtime Sleep Affirmations for Prosperity, Success & Abundance https://www.youtube.com/playlist?list=PLCNbem8fOiHq1Mn796oKmiu63oo8mRG9q

Morning Affirmations for Wealth, Abundance and Confidence https://www.youtube.com/playlist?list=PLCNbem8fOiHomHEiGaCIwgQGc6MnKfvx0

Guided Meditations for Wealth, Abundance and Creativity https://www.youtube.com/playlist?list=PLCNbem8fOiHpxMsebKoEm7qHO14T4KJVE

Affirmations for Creativity, Success and Abundance https://www.youtube.com/playlist?list=PLCNbem8fOiHrIgeCbuuWQVZD0SL91bHjb

21 Day Meditation Challenge Videos https://www.youtube.com/playlist?list=PLCNbem8fOiHq8UnWVH66CYWQDW5mDkUG8

===

#Affirmations #BestAffirmations #21days #BobBaker  #Positivity #lawofattraction #MorningAffirmations

affirmations of all time, 21 days, morning affirmations, affirmations, law of attraction, success, money, prosperity, wealth, positive affirmations, money affirmations, powerful money affirmations, affirmations for success, abundance, increasing motivation, creating miracles, subconscious mind, the secret, positive statements, wealth and abundance, rewire your brain, the 7 most powerful affirmations for wealth

===

Also, I've published many books over the years, including:
The Passion Principles https://amzn.to/37jxcKs
The Empowered Artist https://amzn.to/2TX7APo
Personal and Spiritual Growth for Fun People https://amzn.to/2NRqSCf
Guerrilla Music Marketing Handbook https://amzn.to/37h4wSd
The DIY Career Manifesto https://amzn.to/2RkubUn
The 9 Irrefutable Laws of Music Marketing https://amzn.to/30MJEjj
Branding Yourself Online https://amzn.to/2RKafJF
The Guerrilla Guide to Book Marketing https://amzn.to/2GhVSXH

Visit my AMAZON author page at https://author.to/BobBaker to see all of my titles.

===

Written and read by Bob Baker (c) 2021
Original background music by Gregory Cain (c) 2020. Hear more of his music at https://gregorycain.bandcamp.com

===

Connect with me on …
FACEBOOK https://www.facebook.com/BobBakerInspiration/
TWITTER https://twitter.com/MrBuzzFactor
INSTAGRAM https://www.instagram.com/mrbuzzfactor/
LINKEDIN https://www.linkedin.com/in/buzzfactor/
TIKTOK https://www.tiktok.com/@bobbakerstl
MEDIUM https://medium.com/@MrBuzzFactor

===",https://i.ytimg.com/vi/_tWzCP0s22U/hqdefault.jpg,480,360,Bob Baker Affirmations,none,2021-05-10T10:30:03Z,_tWzCP0s22U,PT11M4S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,1315491,15366,0,472,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']"
youtube#video,F-33bsB1G5LZxhBA4LSzKkkTCg8,I55jCHTQwCA,2019-08-09T12:00:07Z,UC3OYTXo95kytYbq0kIkj1xA,Positive Affirmations For Kids - Mindful and Calming - Promote Good Self Esteem and Confidence,Listen to and repeat these positive affirmations everyday to promote good self esteem and confidence. Positive thinking is a ...,https://i.ytimg.com/vi/I55jCHTQwCA/hqdefault.jpg,480,360,pure star kids,none,2019-08-09T12:00:07Z,I55jCHTQwCA,PT6M37S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,True,559606,,0,0,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
youtube#video,DRTnGo7LG8qpwqrKs0A8ovTeQxo,VPDUzNg_b2M,2024-02-26T09:38:07Z,UCODavDDywuODtf3R0CXqfcA,ASMR Soft-Spoken Positivity: Uplifting Affirmations,"To all those needing a bit of uplifting, I truly hope I have been able to help you in some way! Peace and love to you all ...",https://i.ytimg.com/vi/VPDUzNg_b2M/hqdefault.jpg,480,360,WhisperTome ,none,2024-02-26T09:38:07Z,VPDUzNg_b2M,PT17M29S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1397,83,0,17,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
youtube#video,hnd5XmyyI6Rb8rCq-d1S346hfIE,OkVASdquS8A,2023-04-20T13:30:09Z,UCIpBFvLxW5x8W7qVgQJae_A,Ultimate Clear Negative Energy (Affirmations + 417 Hz),"This subliminal contains positive affirmations + 417 Hz 417 Hz: Remove negative energy and undo negative happenings, ...",https://i.ytimg.com/vi/OkVASdquS8A/hqdefault.jpg,480,360,HypnoDaddy,none,2023-04-20T13:30:09Z,OkVASdquS8A,PT6M31S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,45217,830,0,224,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music']"
youtube#video,rHpytgEqXbXzkzZ2lieVHonrcIw,9wzFCSk8EOY,2020-02-13T07:09:42Z,UC2I6aQ_2YUK1TlNRQNITjzA,“Words of Affirmation” Love Language pt. 2,"If these videos bless you Subscribe, Share with a friend, and drop a comment below of your favorite takeaways! Thank you so ...",https://i.ytimg.com/vi/9wzFCSk8EOY/hqdefault.jpg,480,360,Albaner C. Eugene Jr.,none,2020-02-13T07:09:42Z,9wzFCSk8EOY,PT7M44S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,16569,776,0,35,"['https://en.wikipedia.org/wiki/Religion', 'https://en.wikipedia.org/wiki/Society']"
youtube#video,GpIaSUBjgZbSAZNypOpHB8W_4Zc,j71q6zlbO3I,2019-09-25T22:45:52Z,UCqLQntNxiX-eCU2Xy9CjzMw,I AM Morning Affirmations for Women | Powerful Guided Meditation 432 Hz Healing Frequency,Our thoughts create our reality. Program your mind to think positive thoughts daily with these positive I AM morning affirmations.,https://i.ytimg.com/vi/j71q6zlbO3I/hqdefault.jpg,480,360,Alanna Foxx,none,2019-09-25T22:45:52Z,j71q6zlbO3I,PT14M45S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,12824252,238364,0,5210,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']"
